old_issue_id,new_customer_question_id,issue_name
12063,976,UPDATED,"-Узел прохода."
10181,977,UPDATED,"Корректировка чертежа для сдачи регистру, в связи с несоответствием его выполненным работам"
10315,978,UPDATED,"-корректировка чертежа"
9893,979,UPDATED,"- ИСУТС"
17710,980,UPDATED,"Расположение люковых закрытий цитерн для краба"
9861,981,UPDATED,"03070-880-1001"
10143,982,UPDATED,"-Гидравлика"
9978,983,UPDATED,"-Фундамент под ГРЩ."
17604,984,UPDATED,"Узлы зашивки"
23729,985,UPDATED,"Раскрой и т.д."
9855,986,UPDATED,"03070-880-1002"
11560,987,UPDATED,"-камбузное оборудование"
14504,988,UPDATED,"- Монтаж ВДГ."
10114,989,UPDATED,"-применить по аналогии с 415"
10041,990,UPDATED,"Фундамент ЩДОП"
9869,991,UPDATED,"03070-810-001"
15453,992,UPDATED,"-загрузить чертеж"
10028,993,UPDATED,"03095-751-001_rev2_зам2"
9856,994,UPDATED,"03070-880-1001"
17673,995,UPDATED,"Схема металлизации и ведомость грунтовки и окраски 411 заказ."
11025,996,UPDATED,"Доработка корпуса в месте стыковки защиты винта с корпусом судна"
10312,998,UPDATED,"-корректировка чертежа"
13791,999,UPDATED,"годен для 405-го"
11691,1000,UPDATED,"Система топливная. АДГ"
10191,1001,UPDATED,"-Исправить РКД согласно ПДСП"
14341,1002,UPDATED,"Внесения изменений в чертеж установки крана ."
10941,1003,UPDATED,"-Схема кантовки."
10020,1004,UPDATED,"Фундамент ПУС консоль ЛБ"
10084,1005,UPDATED,"-Коректировка чертежа"
14233,1006,UPDATED,"Монтаж АДГ"
10756,1007,UPDATED,"-Шпигатная труба п.20"
12490,1008,UPDATED,"-Приварное насыщение цистерн 411"
14620,1009,UPDATED,"-актуальность ч-жа"
16063,1010,UPDATED,"на 28 шп трубы нет"
11965,1011,UPDATED,"КР на заделку ."
10177,1012,UPDATED,"Сервосистема лебедок"
17712,1013,UPDATED,"Отсутствие подогревателя (антиобледенителя) в антенном редукторе"
10259,1014,UPDATED,"Проход кабеля лаг и эхолот"
11494,1015,UPDATED,"-откорректировать чертеж"
14559,1016,UPDATED,"-монтаж АРЩ, ГРЩ"
14625,1017,UPDATED,"-площадка налетает на ВДГ"
10214,1018,UPDATED,"-Контроль аварийного сброса аммиака."
14089,1019,UPDATED,"Класс трубопроводов в Ведомости заказа (Серт.РС на арматуру)."
11877,1020,UPDATED,"отредактировать схему аммиачной системы"
14539,1021,UPDATED,"NR_03070-263-0039"
11788,1022,UPDATED,"Прошу предоставить чертежи на данные позиции в производство."
9804,1023,UPDATED,"-"
14571,1024,UPDATED,"Монтаж сепаратароа дизельного топлива"
11218,1025,UPDATED,"Испытания воздушных и воздушно-переливных трубопроводов"
15498,1026,UPDATED,"редактировать чертеж"
14223,1027,UPDATED,"Монтаж ВДГ"
12470,1028,UPDATED,"-пересечение фундаментов"
10026,1029,UPDATED,"03095-751-001_rev2_зам2"
11559,1030,UPDATED,"-Ведомость окраски"
9858,1032,UPDATED,"03070-880-1004"
10011,1033,UPDATED,"-Отсутствие кабеля между пускателем резервного насоса низкого/высокого давления редуктора и щитов ДАУ (PCU)"
9867,1034,UPDATED,"03070-810-001"
15892,1035,UPDATED,"Перенос фундамента поз.75"
11562,1036,UPDATED,"Управление БЗК топливных цистерн"
11137,1037,UPDATED,"-Прошу внести изменения в чертеже"
11759,1038,UPDATED,"-Заделки под С/У"
22081,1039,UPDATED,"Детали и крепёж заземления судового электрооборудования"
12068,1040,UPDATED,"на это месте уже стоит ф-т"
15868,1041,UPDATED,"Расположение тепловентиляторов системы отопления"
11588,1042,UPDATED,"-Откорректировать чертеж, согласно выделенным исправлениям"
15481,1043,UPDATED,"Бактерицидная установка"
14677,1044,UPDATED,"-создать чертеж"
10233,1045,UPDATED,"- С-ма утечек фреона"
11515,1046,UPDATED,"-Переделка мачт."
11676,1047,UPDATED,"УП167 - Одобренный ПДСП"
10223,1048,UPDATED,"-Якорное устройство."
10052,1049,UPDATED,"-ИСУТС алармы"
10145,1050,UPDATED,"Фундаменты под ГРЩ в ЦПУ 411 (""на островке"")"
14038,1052,UPDATED,"можно ли использовать данный чертеж для 404 и 405"
10738,1053,UPDATED,"корректировка чертежа"
11950,1054,UPDATED,"Количество смолы и отвердителя"
10747,1055,UPDATED,"-Замена переборочного соединения"
17716,1056,UPDATED,"Расположения добавленной поз.1.4 GPS антенны GPA-017S."
11706,1057,UPDATED,"Отверстия под призонные болты в корпусной балке"
10280,1058,UPDATED,"-Изменение врезки в пожарную магистраль."
10282,1059,UPDATED,"-Панель управления локального пожаротушения"
23194,1060,UPDATED,"исправить узел крепления насоса"
14476,1065,UPDATED,"Внесения изменения в чертеж (внутренние вертикальные трапы ) зам. РС"
16050,1066,UPDATED,"-корректировка чертежа"
23051,1067,UPDATED,"Изоляция ниш ДБА в пом.1101 и пом.1202"
22095,1068,UPDATED,"Добавить узлы сварки."
19589,1070,UPDATED,"305-001 Установка днищевых вопрос"
18387,1071,UPDATED,"Ревизионный люк под захлопкой вентилятора ВДГ."
19594,1073,UPDATED,"Установка электрообогревателя в помещении №306"
19600,1075,UPDATED,"Прием пресной воды с берега"
19632,1076,UPDATED,"Согласование замен"
20364,1078,UPDATED,"804-001 п. 016"
23527,1079,UPDATED,"узел буфера на двери"
18517,1080,UPDATED,"Расчеты нагрузки в помещении рыбофабрики при подрезке тавра по замечанию заказчика."
18400,1081,UPDATED,"Фундамент гидр. насоса в пом. кормовой гидравлики"
19881,1082,UPDATED,"в ч-же 03070-304-200 (рев. а3)  вопрос к ТТ поз. 4"
20067,1083,UPDATED,"821-001 Забойные участки трубопроводов"
18873,1085,UPDATED,"Подкрепление цистерны сбора шлама в МО"
22775,1088,UPDATED,"Добавить в чертеж узел крепления и заземления"
22774,1089,UPDATED,"Добавить в чертеж узлы крепления и заземления трансформаторов"
19353,1093,UPDATED,"Трубопроводы п. 121-139"
19633,1094,UPDATED,"813-001 Размер втулки!"
18548,1095,UPDATED,"Фундамент насоса управления носовой гидравлики."
19152,1096,UPDATED,"Подкладные планки для зашивки цистерн"
20928,1097,UPDATED,"803-001 п: 087 - 088"
17663,1098,UPDATED,"Замечание заказчика."
21291,1099,UPDATED,"Доработка BS08 rev.B"
19782,1100,UPDATED,"701-001 Насыщение шп 86"
19773,1102,UPDATED,"721-001 АТ (Изготовление трубопроводов)"
20499,1103,UPDATED,"Замечания к ч. 200101-228-571.4"
19683,1104,UPDATED,"Аннулировать скоб трапы и вертикальные в МО"
19686,1105,UPDATED,"821-001 Насыщение шп 24 и шп 28"
19741,1106,UPDATED,"805-001 Координаты насыщения"
19854,1107,UPDATED,"Комингс на горловины 034.042, 034.043"
18488,1108,UPDATED,"Трассировка трубопроводов"
19143,1109,UPDATED,"200101-821-001СБ СИСТЕМА ВОЗДУШНЫХ И ПЕРЕЛИВНЫХ ТРУБ_rev3"
19685,1110,UPDATED,"821-001 РЕВИЗИЯ 6 , ОШИБКИ ВСЕ ТЕ ЖЕ"
19953,1111,UPDATED,"721-003 Высоты трубопровода п. 010-011"
19754,1112,UPDATED,"200101-577-001 (Система отопления. Трубопровод ниже палубы 1 в р-не корма-32 шп)"
20410,1113,UPDATED,"702-001 Насыщение п.1354"
19703,1114,UPDATED,"сливная пробка"
19708,1115,UPDATED,"Вытяжка над автоклавами в консервном цехе."
19702,1116,UPDATED,"Установка сливных пробок в поддон"
19727,1117,UPDATED,"ФУНДАМЕНТ ОХЛАДИТЕЛЯ МАСЛА ГДГ 721.018
200101-263-721.18"
19711,1118,UPDATED,"Траловые блоки"
19707,1119,UPDATED,"Применения солнцезащитных шторок"
19732,1120,UPDATED,"СИСТЕМА СМАЗОЧНОГО МАСЛА. ТРУБОПРОВОД ГДГ И ВДГ 200101-710-004"
18518,1121,UPDATED,"Ремарка №398"
19841,1122,UPDATED,"813-001 АТ п 133"
19842,1123,UPDATED,"577-001 Свободные фланцы"
19714,1124,UPDATED,"Фундаменты в пом. МО № 0221"
19726,1125,UPDATED,"841-001  корректировка"
18826,1127,UPDATED,"Доработка крепежа фланцев ДБА"
19767,1128,UPDATED,"813-001 Длины трубопроводов"
19766,1129,UPDATED,"813-001 Длины отростков на трубопроводах"
19772,1130,UPDATED,"821-001  Насыщение"
19783,1132,UPDATED,"821-001 Трубопроводы и оборудование"
19786,1133,UPDATED,"столы поз. 7 и поз. 9 не соответствуют ""эскизам на изготовление столов..."" файл прикреплён ниже"
19241,1134,UPDATED,"вопрос по фундаменту 03070-263-0086, так как в перечне его нет (вписал что-то близкое)"
19730,1138,UPDATED,"ФУНДАМЕНТ ОХЛАДИТЕЛЯ МАСЛА ГДГ 721.014 200101-263-721.14"
17721,1139,UPDATED,"Корректировка чертежа 03070-743-051 А3"
19118,1140,UPDATED,"поз.9 заказанная по спецификации не обеспечивает обжатие кранца"
22717,1141,UPDATED,"Ледостойкая краска подводной части судна"
15538,1142,UPDATED,"-разработать чертеж"
18862,1143,UPDATED,"Стаканы системы гидравлики."
18908,1144,UPDATED,"Мероприятия по накренению заказа для врезки шпигатов."
19845,1145,UPDATED,"Перенос тепловентилятора"
19791,1146,UPDATED,"Конструкция МО Аннулированая цистерна"
20367,1149,UPDATED,"710-001 Суфлер"
19849,1150,UPDATED,"Патрубки ДБА"
19851,1151,UPDATED,"581-001 #20 Насыщение"
20346,1152,UPDATED,"Замечания к чертежу"
22962,1156,UPDATED,"Установка рыбопоискового оборудования"
22141,1157,UPDATED,"Согласование толщины полиамидной прокладки для терморазрыва."
19853,1158,UPDATED,"721-001 Трубопроводы к охладителям"
19855,1161,UPDATED,"Вид и протяжённость сварочного шва."
19940,1162,UPDATED,"Уточнить количество материала по спецификации 200101-511-108."
19860,1163,UPDATED,"Изменение конструкции верт. трапа пом. 0116"
19870,1164,UPDATED,"Установка опреснительной установки"
19869,1165,UPDATED,"Установка ручных лебедок кран-балки"
19902,1166,UPDATED,"582-001 п 42-46"
19889,1168,UPDATED,"Арматура на таранной переборке снабжена дистанционным приводом, выведена на траловую палубу."
23193,1169,UPDATED,"исправить узел крепления"
22940,1171,UPDATED,"Монтаж центрального кондиционера"
19927,1172,UPDATED,"Изменение поз. 103/5"
22941,1173,UPDATED,"Монтаж рециркуляра рулевой рубки"
19910,1174,UPDATED,"200101-701-001 (Система отопления. Трубопровод приема и перекачки)"
20234,1175,UPDATED,"Сеппараторы"
19949,1176,UPDATED,"Согласование замены ТМЦ"
20050,1177,UPDATED,"Невозможно установить контейнер в МО"
17709,1178,UPDATED,"Необходимость корректировки схемы ПДСП."
19947,1179,UPDATED,"582-001 Высота трубопроводов"
19948,1180,UPDATED,"710-002 Трассировка трубопровода п.9-10"
23763,1181,UPDATED,"Корректировка РКД СП к чертежу 200101-412-020"
19969,1182,UPDATED,"Установка щита P43"
